Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2018-07-25;1.047,44;1.055,61;1.046,55;1.053,63;;
2018-07-24;1.046,46;1.050,21;1.040,98;1.046,02;;
2018-07-23;1.053,5;1.054,08;1.043,42;1.045,19;;
2018-07-20;1.048,81;1.055,91;1.042,31;1.055,21;;
2018-07-19;1.059,09;1.060,2;1.045,95;1.055,21;;
2018-07-18;1.057,2;1.058,63;1.051,99;1.057,24;;
2018-07-17;1.059,77;1.063,38;1.047,53;1.048,69;;
2018-07-16;1.060,1;1.062,79;1.056,74;1.058,84;;
2018-07-13;1.071,02;1.071,95;1.062,56;1.065,97;;
2018-07-12;1.065,61;1.070,93;1.065,11;1.069,67;;
2018-07-11;1.069,99;1.071,05;1.058,18;1.058,52;;
2018-07-10;1.073,79;1.076,04;1.065,15;1.071,97;;
2018-07-09;1.066,09;1.073,81;1.065,4;1.066,86;;
2018-07-06;1.072,41;1.073,66;1.068,9;1.070,56;;
2018-07-05;1.073,49;1.075,47;1.068,76;1.074,16;;
2018-07-04;1.075,72;1.083,26;1.075,66;1.079,45;;
2018-07-03;1.064,63;1.077,49;1.061,37;1.074,06;;
2018-07-02;1.075,45;1.075,85;1.065,37;1.067,09;;
2018-06-29;1.070,58;1.076,76;1.069,21;1.074,92;;
2018-06-28;1.081,07;1.082,69;1.075,8;1.077,67;;
2018-06-27;1.083,63;1.084,31;1.077,08;1.077,9;;
2018-06-26;1.084,77;1.086,13;1.075,29;1.078,57;;
2018-06-25;1.086,96;1.086,96;1.080,83;1.081,66;;
2018-06-22;1.088,2;1.091,21;1.087,68;1.090,02;;
2018-06-21;1.099,42;1.100,8;1.093,51;1.098,25;;
2018-06-20;1.101,2;1.102,29;1.094,99;1.095,13;;
2018-06-19;1.108,4;1.113,26;1.101,53;1.105,07;;
2018-06-18;1.103,35;1.104,31;1.100;1.100,86;;
2018-06-15;1.123,02;1.123,81;1.100,12;1.103,63;;
2018-06-14;1.107,98;1.116,21;1.106,23;1.110,15;;
2018-06-13;1.101,75;1.105,98;1.098,91;1.104,7;;
2018-06-12;1.103,26;1.103,26;1.097,37;1.099,35;;
2018-06-11;1.101,98;1.104,47;1.097,75;1.102,91;;
2018-06-08;1.103,45;1.106,33;1.101,17;1.105,11;;
2018-06-07;1.095,61;1.100,98;1.094,42;1.095,96;;
